First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Eric,Galvan,,--,155 lbs.,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Daniel,Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,,3.10,41%,6.00,52%,N/A,0.00,0%,0%,0.0,--
Mickey,Gall,,"6' 2""",170 lbs.,"74.0""",Switch,7,6,0,,3.33,48%,4.55,49%,N/A,1.18,32%,37%,1.6,"Jan 22, 1992"
Zelg,Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,,4.86,62%,0.61,66%,N/A,1.30,100%,20%,1.3,"Feb 16, 1979"
Justin,Davis,Dangerous,"5' 11""",205 lbs.,--,,13,16,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Apr 01, 1983"
Dave,Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,,1.67,69%,0.53,33%,N/A,0.00,0%,14%,2.0,"Jan 12, 1978"
Alexis,Davis,,"5' 6""",135 lbs.,"68.0""",Orthodox,21,11,0,,4.63,49%,4.45,54%,N/A,0.95,44%,34%,0.7,"Oct 04, 1984"
Mike,Davis,,--,--,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Lemont,Davis,,"5' 8""",170 lbs.,--,Orthodox,2,6,0,,0.87,54%,1.27,55%,N/A,1.00,50%,0%,1.0,--
Phil,Davis,Mr. Wonderful,"6' 2""",205 lbs.,"79.0""",Orthodox,17,4,0,,2.85,34%,1.33,72%,N/A,2.99,38%,72%,0.6,"Sep 25, 1984"
Brian,Davidson,,"5' 6""",145 lbs.,--,,13,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Rick,Davis,The Flying Squirrel,"5' 9""",155 lbs.,--,Orthodox,3,1,1,,3.09,50%,6.19,64%,N/A,0.00,0%,0%,0.0,--
LC,Davis,,"5' 8""",135 lbs.,"69.0""",Southpaw,23,8,0,,2.04,30%,2.10,59%,N/A,2.27,46%,66%,0.2,"Oct 28, 1980"
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,4.84,43%,4.93,61%,N/A,0.17,14%,75%,0.0,"Jul 31, 1991"
Chris,Daukaus,,"6' 3""",205 lbs.,"76.0""",Orthodox,12,7,0,,6.05,50%,4.64,55%,N/A,0.00,0%,100%,0.0,"Sep 25, 1989"
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,1.67,36%,2.60,41%,N/A,0.00,0%,40%,5.0,"Jun 06, 1985"
Marcus,Davis,The Irish Hand Grenade,"5' 10""",170 lbs.,"70.0""",Southpaw,22,11,0,,2.72,39%,2.79,65%,N/A,1.60,48%,47%,1.4,"Aug 24, 1973"
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,2.02,49%,1.20,61%,N/A,3.74,38%,31%,1.2,"Nov 29, 1976"
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,20,2,0,,2.36,61%,1.00,58%,N/A,6.68,56%,0%,2.4,"Jan 25, 1994"
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,,1.92,41%,5.75,27%,N/A,0.00,0%,0%,0.0,"Mar 22, 2004"
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0,,0.20,18%,4.53,30%,N/A,0.00,0%,0%,0.0,"Oct 08, 1997"
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,,7.60,51%,5.87,53%,N/A,2.00,66%,100%,0.0,"Aug 10, 1992"
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0,,3.98,53%,3.83,47%,N/A,1.74,47%,58%,1.4,"Dec 28, 1995"
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,1.28,49%,1.90,59%,N/A,0.62,50%,26%,0.0,"Feb 19, 1981"
Travis,Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,,2.21,40%,3.45,48%,N/A,1.33,25%,0%,1.3,"May 18, 1981"
Justin,Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,25,5,0,,6.78,59%,7.46,52%,N/A,0.11,25%,75%,0.0,"Nov 14, 1988"
Muin,Gafurov,Tajik,"5' 7""",135 lbs.,"68.0""",Southpaw,19,6,0,,3.03,47%,2.25,50%,N/A,1.95,27%,68%,0.0,"May 17, 1996"
Brandon,Gaines,,"6' 3""",185 lbs.,--,,5,21,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Mitch,Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,,2.76,46%,2.21,61%,N/A,1.16,25%,65%,1.9,"Oct 10, 1984"
Sheila,Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,,1.60,50%,2.89,28%,N/A,0.00,0%,20%,0.0,"Dec 29, 1989"
Magomed,Gadzhiyasulov,,"6' 2""",205 lbs.,"75.0""",Orthodox,9,0,0,,3.30,50%,1.37,67%,N/A,5.50,91%,57%,0.0,"Nov 04, 1993"
Alavutdin,Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,,0.99,27%,0.99,57%,N/A,0.00,0%,50%,0.0,"Jun 23, 1982"
Gustavo,Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,,4.06,65%,4.26,46%,N/A,0.00,0%,50%,0.0,"Apr 01, 1994"
Claudia,Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,,3.31,41%,4.57,57%,N/A,3.03,42%,58%,0.7,"Dec 07, 1988"
Kyle,Daukaus,,"6' 3""",185 lbs.,"76.0""",Southpaw,11,4,0,,3.22,52%,2.94,42%,N/A,2.12,25%,82%,1.9,"Feb 27, 1993"
Sean,Daugherty,,"6' 0""",175 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 04, 1975"
Karen,Darabedyan,,"5' 7""",155 lbs.,"68.0""",Orthodox,13,6,0,,3.43,51%,2.62,67%,N/A,2.14,75%,0%,0.0,"Dec 18, 1986"
Eduardo,Dantas,Dudu,"5' 10""",135 lbs.,--,,20,4,0,,3.33,60%,3.00,60%,N/A,4.00,23%,100%,0.0,"Feb 03, 1989"
Beneil,Dariush,,"5' 10""",155 lbs.,"72.0""",Southpaw,22,6,1,,3.78,48%,2.65,57%,N/A,1.90,34%,80%,0.9,"May 06, 1989"
Alexandre,Dantas,Cafe,"6' 2""",238 lbs.,--,Orthodox,0,3,0,,0.21,25%,1.87,60%,N/A,0.00,0%,0%,3.1,"Mar 01, 1979"
Marques,Daniels,,--,155 lbs.,--,,5,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Mac,Danzig,,"5' 8""",155 lbs.,"70.0""",Orthodox,21,12,1,,3.39,48%,3.44,57%,N/A,1.20,37%,46%,0.6,"Jan 02, 1980"
Anvarbek,Daniyalbekov,,--,185 lbs.,--,,8,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 27, 1995"
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,0.80,38%,3.10,43%,N/A,0.00,0%,50%,0.0,"Jan 13, 1967"
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0,,3.45,41%,2.88,61%,N/A,0.93,47%,75%,0.3,"Jan 22, 1994"
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,3.56,42%,5.74,52%,N/A,1.40,71%,50%,0.8,"Feb 22, 1993"
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,6.32,50%,10.11,38%,N/A,0.00,0%,0%,0.0,"Jul 14, 1989"
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,,2.50,51%,0.46,59%,N/A,3.06,44%,0%,0.0,"Dec 08, 2000"
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,2,0,,7.03,60%,7.27,36%,N/A,1.82,33%,0%,1.8,"Dec 07, 1992"
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,1.41,45%,2.20,56%,N/A,1.76,38%,100%,0.0,"Sep 17, 1984"
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 10, 1984"
James,Gabert,,--,178 lbs.,--,,6,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Raymond,Daniels,,"6' 2""",185 lbs.,--,Southpaw,0,1,0,,0.00,0%,2.61,38%,N/A,0.00,0%,33%,3.0,--
Cindy,Dandois,Battlecat,"5' 7""",135 lbs.,--,Orthodox,8,3,0,,3.13,32%,3.40,58%,N/A,5.00,55%,0%,0.0,"Oct 26, 1984"
Jarjis,Danho,Man Mountain,"6' 3""",265 lbs.,"74.0""",Orthodox,7,1,1,,3.38,50%,5.25,49%,N/A,0.51,16%,100%,0.0,"Oct 15, 1983"
Peter,Danesoe,The Asian Viking,"5' 9""",125 lbs.,"68.0""",Orthodox,6,3,0,,4.98,54%,7.02,37%,N/A,0.00,0%,62%,0.0,"Sep 01, 2000"
Carina,Damm,Beauty But the Beast,"5' 4""",135 lbs.,--,,2,13,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Batgerel,Danaa,Storm,"5' 7""",135 lbs.,"70.0""",Orthodox,12,5,0,,5.38,36%,4.21,47%,N/A,0.52,50%,62%,0.0,"Jul 04, 1989"
Marko,Damiani,,"6' 0""",170 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Rodrigo,Damm,,"5' 7""",155 lbs.,"71.0""",Orthodox,13,9,0,,3.50,36%,5.61,57%,N/A,0.44,16%,80%,0.3,"Feb 03, 1980"
Leonardo,Damiani,Puppy,"5' 10""",170 lbs.,"69.0""",Orthodox,10,3,1,,1.67,23%,4.17,37%,N/A,0.00,0%,50%,0.0,"Aug 30, 1990"
Levi,Alford,,--,--,--,,1,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Aisling,Daly,Ais the Bash,"5' 2""",115 lbs.,"64.0""",Orthodox,16,6,0,,2.92,52%,1.40,55%,N/A,2.15,41%,33%,0.9,"Dec 24, 1987"
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 09, 1983"
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0,,5.88,51%,4.38,47%,N/A,1.03,50%,55%,0.1,"Jun 09, 1989"
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,1.65,38%,4.77,53%,N/A,0.37,7%,22%,0.7,"Aug 06, 1974"
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,1.61,45%,2.89,42%,N/A,0.35,20%,66%,0.7,"May 05, 1989"
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,4,0,,5.23,55%,1.83,71%,N/A,0.00,0%,57%,0.0,"Jul 28, 1995"
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,0.88,19%,2.20,66%,N/A,4.71,26%,0%,0.0,"Sep 25, 1977"
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,2.10,39%,2.91,54%,N/A,1.85,38%,70%,1.2,"Jul 05, 1979"
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,3.06,54%,3.20,52%,N/A,1.19,57%,33%,0.0,"Mar 22, 1972"
Dave,Dalgliesh,,"6' 2""",205 lbs.,--,Orthodox,30,19,2,,0.00,0%,1.85,50%,N/A,0.00,0%,0%,0.0,"Apr 05, 1978"
Henrique,Da Silva Lopes,Montanha,"6' 3""",240 lbs.,--,,5,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 08, 1985"
Paul,Daley,Semtex,"5' 9""",170 lbs.,"76.0""",Orthodox,39,15,2,,3.14,47%,2.37,60%,N/A,0.91,40%,64%,0.0,"Feb 21, 1983"
Nicolas,Dalby,Danish Dynamite,"5' 11""",170 lbs.,"74.0""",Orthodox,23,5,1,,4.06,43%,3.52,52%,N/A,1.01,27%,58%,0.1,"Nov 16, 1984"
Alex,Da Silva,Leko,"5' 8""",155 lbs.,"73.0""",Orthodox,21,4,0,,2.14,46%,2.52,56%,N/A,1.97,43%,76%,0.3,"Feb 04, 1996"
Henrique,da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,14,5,0,,3.89,60%,5.28,40%,N/A,0.25,14%,22%,0.2,"Sep 01, 1989"
Marcos,da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,11,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 18, 1973"
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,2.90,40%,4.38,56%,N/A,2.26,41%,80%,0.3,"Oct 14, 1986"
Ariane,da Silva,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,17,9,0,,4.10,41%,3.96,53%,N/A,0.56,55%,71%,0.3,"Jan 26, 1994"
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,5,1,1,,2.49,28%,4.80,52%,N/A,2.00,13%,50%,0.0,"Oct 17, 1990"
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0,,3.84,43%,3.55,48%,N/A,0.87,20%,100%,0.9,"Jun 27, 1990"
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,13,7,0,,3.88,46%,4.38,60%,N/A,0.66,23%,66%,0.0,"Sep 29, 1992"
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,,3.13,44%,3.13,58%,N/A,0.00,0%,57%,0.0,"Sep 14, 1991"
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0,,5.19,39%,6.64,56%,N/A,0.15,50%,77%,0.2,"Mar 26, 1988"
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,2.91,54%,6.26,26%,N/A,2.57,40%,33%,0.0,"Aug 25, 1977"
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,8,0,,3.63,46%,3.73,60%,N/A,0.51,53%,91%,0.1,"Sep 09, 1986"
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,3.59,38%,5.08,59%,N/A,0.93,100%,0%,0.0,"Aug 17, 1988"
Sarah,D'alelio,The Monster,"5' 7""",145 lbs.,--,,11,7,0,,2.40,33%,0.00,100%,N/A,0.00,0%,100%,0.0,"Dec 13, 1980"
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 10, 1970"
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,1.93,38%,2.63,50%,N/A,2.00,68%,81%,0.9,"Nov 18, 1982"
Juan,Alcain,,--,--,--,,1,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,2.72,45%,2.79,49%,N/A,1.44,62%,60%,0.8,"Aug 04, 1980"
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,0.32,13%,3.34,25%,N/A,0.00,0%,0%,0.0,--
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,4.83,47%,5.56,38%,N/A,2.27,50%,77%,0.4,"Jul 14, 1990"
Brett,Albee,,--,225 lbs.,--,,3,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,3.05,49%,2.82,35%,N/A,0.00,0%,50%,6.1,"Oct 13, 1986"
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17,9,2,,2.64,32%,4.67,57%,N/A,1.99,45%,75%,0.0,"Dec 14, 1991"
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,3.98,51%,6.08,52%,N/A,1.54,37%,100%,0.0,"Mar 15, 1991"
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,1,0,,2.80,39%,3.07,63%,N/A,1.71,33%,40%,0.7,"Oct 27, 1993"
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,1.36,19%,3.61,53%,N/A,0.00,0%,0%,0.0,"Jul 14, 1973"
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,3.84,65%,6.66,23%,N/A,2.06,50%,42%,0.0,"Jun 07, 1991"
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,,4.14,34%,3.60,59%,N/A,2.32,30%,20%,0.0,"Apr 10, 1995"
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,3.27,39%,3.14,60%,N/A,0.65,14%,57%,0.0,"May 14, 1982"
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,1.80,25%,3.97,57%,N/A,1.00,40%,87%,0.0,"Dec 19, 1991"
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,,5.00,40%,11.25,25%,N/A,0.00,0%,0%,0.0,"Jun 19, 1994"
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,,2.97,34%,2.84,55%,N/A,2.58,45%,65%,0.2,"Oct 12, 1987"
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,3.10,41%,3.62,57%,N/A,2.29,67%,92%,1.0,"Jul 29, 1975"
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,2.87,33%,6.33,59%,N/A,0.00,0%,71%,0.0,--
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,0.59,45%,2.58,55%,N/A,0.00,0%,8%,0.5,"Jul 27, 1974"
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,2.54,37%,4.04,48%,N/A,0.00,0%,60%,0.0,"Nov 25, 1991"
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,11,2,0,,1.46,51%,1.26,58%,N/A,1.75,33%,36%,1.8,"Mar 13, 1996"
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,,0.73,33%,2.89,45%,N/A,1.16,20%,33%,0.6,"Jan 15, 1996"
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,4.93,50%,7.19,53%,N/A,0.94,25%,50%,0.2,"May 08, 1982"
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,3.96,40%,4.81,52%,N/A,0.16,16%,78%,0.0,"Sep 07, 1988"
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 10, 1988"
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Feb 16, 1992"
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,0.69,11%,4.56,42%,N/A,0.00,0%,0%,0.0,"Jan 13, 1979"
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,4,0,,4.00,48%,3.21,56%,N/A,0.05,12%,75%,0.1,"Jul 22, 1989"
Mohamed,Ado,,--,170 lbs.,--,,5,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 03, 2000"
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,,4.43,54%,3.62,52%,N/A,0.55,66%,45%,0.8,"Apr 07, 1997"
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Apr 26, 1965"
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,3.17,41%,5.93,44%,N/A,0.00,0%,0%,0.0,"Jan 13, 1988"
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,7.09,55%,4.06,34%,N/A,0.91,66%,57%,0.0,"Jan 16, 1992"
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,3.65,40%,3.04,64%,N/A,0.00,0%,100%,0.5,"Jul 29, 1992"
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,3.90,52%,6.28,44%,N/A,0.00,0%,0%,0.0,"Jun 22, 1991"
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,3.52,36%,2.85,62%,N/A,0.33,20%,81%,0.0,"Dec 27, 1977"
Cyborg,Abreu,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 20, 1980"
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,2.05,40%,2.90,55%,N/A,0.64,20%,80%,0.0,"Dec 24, 1992"
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,3.80,33%,4.49,56%,N/A,0.33,50%,0%,0.0,"Nov 27, 1991"
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,3.79,31%,3.98,68%,N/A,2.13,42%,100%,0.7,"Apr 27, 1984"
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,1.71,36%,3.11,63%,N/A,0.00,0%,33%,0.0,--
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,2.80,55%,3.15,48%,N/A,3.47,57%,50%,1.3,"Jun 30, 1978"
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,,3.87,52%,3.13,59%,N/A,3.00,75%,0%,0.0,"Jan 22, 1993"
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,2.41,44%,3.02,55%,N/A,1.01,23%,45%,0.1,"Sep 02, 1981"
Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"79.0""",Orthodox,6,0,0,,5.38,53%,5.16,54%,N/A,0.00,0%,75%,0.0,"Oct 07, 1997"
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,3.00,20%,5.67,46%,N/A,0.00,0%,66%,0.0,"Feb 01, 1994"
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,3.29,38%,4.41,57%,N/A,0.00,0%,77%,0.0,"Jul 03, 1983"
Neal,Ewing,,--,185 lbs.,--,,6,0,0,,2.27,60%,1.93,48%,N/A,5.00,62%,0%,0.0,"Sep 30, 1985"
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,1.35,30%,3.55,38%,N/A,1.07,33%,66%,0.0,--
Jessica,Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0,,3.86,37%,4.19,55%,N/A,0.58,40%,57%,0.5,"Jul 27, 1986"
Tonya,Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0,,1.16,42%,4.02,38%,N/A,0.93,30%,33%,0.9,"Jun 04, 1981"
Movsar,Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,18,0,0,,4.43,48%,2.89,61%,N/A,4.75,46%,71%,0.2,"Feb 11, 1994"
Andre,Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0,,4.28,40%,4.87,51%,N/A,0.36,75%,72%,0.1,"Jan 21, 1988"
Dan,Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0,,0.27,10%,3.86,38%,N/A,0.00,0%,0%,4.0,"Jun 01, 1974"
Ashlee,Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0,,4.03,34%,4.59,53%,N/A,0.95,22%,50%,0.0,"Jul 09, 1987"
Billy,Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0,,4.51,40%,3.96,61%,N/A,1.60,19%,61%,0.2,"Oct 07, 1980"
Doug,Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0,,1.79,35%,2.55,55%,N/A,3.19,83%,69%,0.6,"Oct 10, 1980"
Scott,Ettling,,--,135 lbs.,--,,4,2,0,,0.00,0%,0.54,83%,N/A,8.04,100%,0%,0.0,--
Sijara,Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0,,4.30,43%,3.43,57%,N/A,1.90,44%,66%,0.3,"Apr 27, 1985"
Rashad,Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1,,2.14,37%,2.42,63%,N/A,2.98,44%,73%,0.0,"Sep 25, 1979"
Shaun,Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0,,0.00,0%,0.00,0%,N/A,4.37,100%,100%,0.0,"Aug 05, 1993"
Fred,Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Terry,Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0,,2.16,35%,2.53,67%,N/A,0.43,30%,39%,1.4,"Jan 11, 1986"
