Name,Ht,Wt,Reach,Stance,Career W,Career L,DOB,born_year
Andre Soukhamthath,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,"Oct 23, 1988",1988
Joe Soto,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,"Mar 22, 1987",1987
Alex Soto,"5' 8""",135 lbs.,--,Southpaw,8,3,"Feb 15, 1984",1984
Jacare Souza,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,"Dec 07, 1979",1979
Ben Sosoli,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,"Dec 10, 1989",1989
Krzysztof Soszynski,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,"Aug 02, 1977",1977
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,"Jul 06, 1989",1989
George Sotiropoulos,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,"Jul 09, 1977",1977
Greg Soto,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,"Jun 03, 1986",1986
Emiliano Sordi,"6' 2""",205 lbs.,--,Orthodox,16,7,"Feb 15, 1991",1991
Sean Soriano,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,"Oct 06, 1989",1989
Benardo Sopaj,"5' 6""",135 lbs.,"66.0""",Orthodox,11,3,"Sep 25, 2000",2000
Punahele Soriano,"5' 11""",170 lbs.,"72.0""",Southpaw,10,4,"Nov 22, 1992",1992
Chael Sonnen,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,"Apr 03, 1977",1977
Emrah Sonmez,"5' 10""",145 lbs.,"71.0""",Orthodox,14,5,"Jun 26, 1992",1992
Jin Soo Son,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,"Apr 01, 1993",1993
Cody Sons,"5' 9""",205 lbs.,--,,3,7,--,--
YoungJae Song,"5' 7""",145 lbs.,"70.0""",Orthodox,6,1,"Jan 03, 1996",1996
Song Yadong,"5' 8""",135 lbs.,"67.0""",Orthodox,21,8,"Dec 02, 1997",1997
Joe Son,"5' 4""",236 lbs.,--,Orthodox,0,4,"Nov 22, 1970",1970
Chris Solomon,"5' 11""",155 lbs.,--,,0,0,--,--
Song Kenan,"6' 0""",170 lbs.,"71.0""",Orthodox,21,8,"Mar 10, 1990",1990
Paul Song,--,185 lbs.,--,,2,2,--,--
Alexander Soldatkin,"6' 2""",250 lbs.,"75.0""",Orthodox,14,4,"Jun 10, 1993",1993
Joe Solecki,"5' 9""",155 lbs.,"70.0""",Orthodox,13,5,"Aug 27, 1993",1993
Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,"Apr 18, 1984",1984
Denis Sobolev,"6' 3""",216 lbs.,--,Orthodox,4,7,--,--
Peter Sobotta,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,"Jan 11, 1987",1987
Richie Smullen,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,"Aug 17, 1991",1991
Devin Smyth,"5' 10""",170 lbs.,"72.0""",Switch,4,2,"Jul 21, 1995",1995
Renato Sobral,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,"Sep 07, 1975",1975
Cameron Smotherman,"5' 9""",135 lbs.,"69.0""",Orthodox,8,4,"Sep 17, 1997",1997
Shimon Smotritsky,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,"Aug 22, 2000",2000
Louis Smolka,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,"Jul 16, 1991",1991
Walter Smith-Cotito,"5' 8""",135 lbs.,--,,4,5,--,--
Elijah Smith,--,135 lbs.,--,,6,1,--,--
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74.0""",Switch,9,3,"Aug 05, 1982",1982
Justin Smitley,--,145 lbs.,--,,10,7,--,--
Braxton Smith,"5' 11""",257 lbs.,"72.0""",Orthodox,5,2,"Jan 01, 1990",1990
Nate Smith,"5' 6""",125 lbs.,"69.0""",Switch,6,1,"Apr 09, 1995",1995
Gilbert Smith,"5' 9""",185 lbs.,--,Southpaw,12,6,"Oct 19, 1981",1981
Leslie Smith,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,"Aug 17, 1982",1982
Cole Smith,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,"Apr 05, 1989",1989
Colton Smith,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,"Aug 14, 1987",1987
Dillon Smith,"6' 0""",170 lbs.,--,,0,0,--,--
Devonte Smith,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,"Jul 30, 1993",1993
David Smith,--,155 lbs.,--,,5,1,--,--
Josh Smith,"6' 0""",155 lbs.,--,Orthodox,9,8,"Jul 02, 1982",1982
Adam Smith,--,--,--,,0,3,--,--
Eric Smith,--,--,--,Southpaw,1,1,--,--
Maurice Smith,"6' 2""",221 lbs.,--,Orthodox,12,14,"Dec 13, 1961",1961
Scott Smith,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,"May 21, 1979",1979
Patrick Smith,"6' 2""",225 lbs.,--,Orthodox,20,17,"Aug 28, 1963",1963
Kestutis Smirnovas,"5' 10""",200 lbs.,--,Orthodox,24,8,--,--
Joe Slick,"6' 0""",199 lbs.,--,Orthodox,16,5,"Oct 17, 1977",1977
Ray Sloan,"6' 1""",205 lbs.,--,,8,1,"Jul 14, 1985",1985
Matt Skelton,"6' 3""",265 lbs.,--,Orthodox,0,1,"Jan 23, 1967",1967
Brian Sleeman,"5' 8""",185 lbs.,--,,9,9,--,--
Zach Skinner,"5' 6""",145 lbs.,--,Orthodox,10,11,--,--
Chas Skelly,"5' 11""",145 lbs.,"72.0""",Orthodox,19,3,"May 11, 1985",1985
Dennis Siver,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,"Jan 13, 1979",1979
Jeri Sitzes,"5' 5""",125 lbs.,--,,3,1,--,--
AJ Siscoe,"5' 7""",135 lbs.,--,,1,2,--,--
Gian Siqueira,"6' 1""",170 lbs.,"74.0""",Orthodox,19,5,"Jun 23, 1994",1994
Mitchell Sipe,"6' 2""",245 lbs.,--,Orthodox,4,1,"Apr 09, 1996",1996
Yokthai Sithoar,"5' 7""",143 lbs.,--,,0,1,"Dec 25, 1974",1974
Rana Rudra Pratap Singh,"5' 10""",135 lbs.,"69.0""",Orthodox,11,2,"May 09, 1997",1997
Elvis Sinosic,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,"Feb 13, 1971",1971
Kiran Singh,"5' 1""",115 lbs.,"65.0""",Orthodox,7,4,"Jul 25, 2000",2000
Jeremia Siregar,"5' 2""",125 lbs.,"63.0""",Orthodox,6,3,"Jul 27, 1991",1991
Rory Singer,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,"May 28, 1976",1976
Lodune Sincaid,"5' 9""",185 lbs.,--,Orthodox,15,9,"May 07, 1973",1973
Everett Sims,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,"Sep 04, 1988",1988
Rob Sinclair,"5' 8""",155 lbs.,--,,13,5,"Feb 20, 1980",1980
Marlon Sims,--,170 lbs.,--,,3,4,--,--
Wes Sims,"6' 10""",260 lbs.,--,Orthodox,24,14,"Aug 04, 1979",1979
Jamey Simmons,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,"Sep 11, 1992",1992
Tony Sims,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,"Oct 14, 1985",1985
Ricky Simon,"5' 6""",135 lbs.,"69.0""",Orthodox,20,6,"Aug 31, 1992",1992
Aaron Simpson,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,"Jul 20, 1974",1974
Sim Kai Xiong,"5' 5""",125 lbs.,"66.0""",Orthodox,5,1,"Sep 06, 1997",1997
Elias Silverio,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,"Sep 22, 1986",1986
Jean Silva,"5' 7""",145 lbs.,"69.0""",Orthodox,14,2,"Dec 27, 1996",1996
Leonardo Silva de Oliveira,"6' 2""",185 lbs.,--,Orthodox,12,4,"Apr 23, 1992",1992
Douglas Silva de Andrade,"5' 7""",135 lbs.,"68.0""",Orthodox,29,6,"Jun 22, 1985",1985
Danny Silva,"5' 11""",145 lbs.,"70.0""",Switch,9,1,"Jan 30, 1997",1997
Janaina Silva,"5' 1""",115 lbs.,"60.0""",Orthodox,5,1,"Feb 16, 1992",1992
Jhonata Silva,"5' 5""",125 lbs.,"66.0""",Orthodox,8,2,"Apr 24, 1997",1997
Marcus Silveira,"6' 3""",242 lbs.,--,Orthodox,6,4,--,--
Erik Silva,"5' 9""",145 lbs.,"71.0""",Orthodox,9,3,"Mar 16, 1987",1987
Maria Silva,"5' 3""",115 lbs.,"64.0""",Orthodox,8,1,"Dec 19, 1995",1995
Karine Silva,"5' 5""",125 lbs.,"67.0""",Orthodox,18,4,"Dec 02, 1993",1993
Jansey Silva,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,"May 30, 1995",1995
Natalia Silva,"5' 4""",125 lbs.,"65.0""",Southpaw,17,5,"Feb 03, 1997",1997
Bruno Silva,"6' 0""",185 lbs.,"74.0""",Orthodox,23,11,"Jul 13, 1989",1989
Gabriel Silva,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,"Aug 26, 1994",1994
Joaquim Silva,"5' 8""",155 lbs.,"69.0""",Southpaw,13,6,"Feb 05, 1989",1989
Felipe Silva,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,"May 08, 1984",1984
Bruno Silva,"5' 4""",125 lbs.,"65.0""",Orthodox,14,5,"Mar 16, 1990",1990
Rafael Silva,"5' 7""",135 lbs.,--,,28,6,"Mar 20, 1985",1985
Jacob Silva,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,"Feb 23, 1988",1988
Wagner Silva,"6' 0""",170 lbs.,--,Orthodox,6,3,"Feb 07, 1987",1987
Dayana Silva,"5' 7""",135 lbs.,--,Orthodox,7,4,"Aug 27, 1990",1990
Claudio Silva,"5' 11""",170 lbs.,"71.0""",Southpaw,14,4,"Sep 06, 1982",1982
Leandro Silva,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,"Nov 11, 1985",1985
Erick Silva,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,"Jun 21, 1984",1984
Fabio Silva,"5' 11""",205 lbs.,--,Orthodox,1,8,"Mar 31, 1982",1982
Jay Silva,"6' 2""",185 lbs.,--,Southpaw,10,11,--,--
Antonio Silva,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,"Sep 14, 1979",1979
Sidney Silva,"6' 3""",170 lbs.,--,Southpaw,8,4,"Feb 27, 1972",1972
Edson Silva,--,205 lbs.,--,Orthodox,14,12,--,--
Jean Silva,"5' 6""",160 lbs.,--,Orthodox,19,12,"Oct 08, 1977",1977
Paulo Cesar Silva,"7' 5""",385 lbs.,--,Orthodox,2,6,"Jul 21, 1963",1963
Thiago Silva,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,"Nov 12, 1982",1982
Assuerio Silva,"5' 10""",241 lbs.,--,Orthodox,16,8,"Jun 18, 1974",1974
Xavier Siller,"5' 5""",125 lbs.,--,,5,5,"Jun 06, 1994",1994
Siala Siliga,"6' 1""",290 lbs.,--,Orthodox,12,5,"Oct 08, 1970",1970
Wanderlei Silva,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,"Jul 03, 1976",1976
Steven Siler,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,"Feb 15, 1987",1987
Kiril Sidelnikov,"5' 11""",230 lbs.,--,,11,4,"Aug 17, 1988",1988
Anderson Silva,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,"Apr 14, 1975",1975
Ronal Siahaan,"5' 7""",125 lbs.,"71.0""",Southpaw,7,1,"May 05, 1996",1996
Landon Showalter,"6' 0""",185 lbs.,--,,11,19,"Jun 14, 1976",1976
Brandon Shuey,"5' 7""",155 lbs.,--,Orthodox,7,6,"Feb 01, 1976",1976
Sam Sicilia,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,"Feb 01, 1986",1986
Serhiy Sidey,"5' 11""",135 lbs.,"72.0""",Switch,10,2,"Jul 04, 1996",1996
Josh Shockley,"6' 1""",155 lbs.,--,Orthodox,11,4,"Nov 15, 1989",1989
Ivan Shtyrkov,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,"Jun 09, 1988",1988
Wes Shivers,"6' 8""",--,--,,7,1,--,--
Jack Shore,"5' 8""",145 lbs.,"71.0""",Orthodox,17,2,"Feb 06, 1995",1995
Josh Shockman,"6' 4""",235 lbs.,--,Southpaw,6,3,"Dec 29, 1980",1980
Liudvik Sholinian,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,"Jan 20, 1990",1990
Alexander Shlemenko,"5' 11""",185 lbs.,--,,56,9,"May 20, 1984",1984
Yuya Shirai,"5' 8""",168 lbs.,--,Orthodox,26,14,"Apr 02, 1980",1980
Raja Shippen,"5' 6""",145 lbs.,--,,18,11,"Oct 07, 1986",1986
Henrique Shiguemoto,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,"Jun 22, 1989",1989
Shunichi Shimizu,"5' 5""",135 lbs.,--,Orthodox,30,18,"Jan 31, 1985",1985
Wade Shipp,"6' 3""",245 lbs.,--,Orthodox,11,5,"Feb 09, 1975",1975
Katsuyori Shibata,"6' 0""",168 lbs.,--,Orthodox,4,11,"Nov 17, 1979",1979
Shi Ming,"5' 2""",115 lbs.,"60.0""",Orthodox,16,5,"Nov 14, 1994",1994
Jake Shields,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,"Jan 09, 1979",1979
Antonina Shevchenko,"5' 8""",125 lbs.,"67.0""",Southpaw,10,4,"Nov 20, 1984",1984
Akira Shoji,"5' 8""",195 lbs.,--,Orthodox,14,17,"Jan 31, 1974",1974
Valentina Shevchenko,"5' 5""",125 lbs.,"66.0""",Southpaw,23,4,"Mar 07, 1988",1988
Eric Shelton,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,"Feb 02, 1991",1991
Jason Sharp,--,205 lbs.,--,,3,3,--,--
Chase Sherman,"6' 4""",250 lbs.,"78.0""",Orthodox,16,12,"Nov 16, 1989",1989
Sean Sherk,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,"Aug 05, 1973",1973
Shang Zhifa,"5' 7""",125 lbs.,"63.0""",Orthodox,32,8,"Mar 15, 1986",1986
Priya Sharma,"5' 1""",115 lbs.,"59.0""",Orthodox,5,2,"Aug 29, 1991",1991
Liliya Shakirova,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,"Oct 24, 1991",1991
Kamal Shalorus,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,"Aug 27, 1972",1972
Frank Shamrock,"5' 10""",185 lbs.,--,Orthodox,23,10,"Dec 08, 1972",1972
Ken Shamrock,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,"Feb 11, 1964",1964
Don Shainis,"5' 6""",145 lbs.,"67.0""",Orthodox,12,5,"Sep 16, 1990",1990
Scott Shaffer,"5' 7""",145 lbs.,--,Orthodox,0,1,--,--
Wuziazibieke Jiahefu,"5' 9""",145 lbs.,"70.0""",Orthodox,29,12,"Apr 09, 1990",1990
Edmen Shahbazyan,"6' 3""",185 lbs.,"75.0""",Orthodox,13,5,"Nov 20, 1997",1997
Leon Shahbazyan,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,"Nov 18, 1995",1995
Dan Severn,"6' 2""",250 lbs.,--,Southpaw,101,19,"Jun 08, 1958",1958
Marcin Wrzosek,"5' 9""",155 lbs.,--,,12,4,"Oct 14, 1987",1987
Wu Yanan,"5' 8""",135 lbs.,"66.0""",Orthodox,13,6,"Apr 18, 1996",1996
Rosi Sexton,"5' 3""",135 lbs.,--,Orthodox,13,5,"Jul 16, 1977",1977
Chris Wright,--,--,--,,8,5,--,--
Jordan Wright,"6' 2""",205 lbs.,"77.0""",Orthodox,12,5,"Oct 07, 1991",1991
JW Wright,--,130 lbs.,--,,1,0,"Jan 12, 1976",1976
Justin Wren,"6' 2""",265 lbs.,--,Orthodox,13,2,"Apr 27, 1987",1987
Wulijiburen,"5' 9""",135 lbs.,"69.0""",Orthodox,20,9,"Mar 01, 1989",1989
Igor Severino,"5' 7""",125 lbs.,"69.0""",Orthodox,8,1,"Apr 21, 2003",2003
Carl Seumanutafa,"6' 1""",255 lbs.,--,Orthodox,10,8,--,--
Adrian Serrano,"5' 8""",170 lbs.,--,,56,29,"Dec 23, 1963",1963
Matt Serra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,"Jun 02, 1974",1974
Fredy Serrano,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,"Sep 22, 1979",1979
Nicholas Sergiacomi,--,170 lbs.,--,,1,1,--,--
Nick Serra,"5' 9""",170 lbs.,--,Orthodox,7,3,"Mar 27, 1978",1978
Hunter Worsham,--,185 lbs.,--,,7,3,--,--
Cal Worsham,"5' 11""",230 lbs.,--,Orthodox,13,10,--,--
Ivan Serati,"6' 0""",205 lbs.,--,Orthodox,12,4,--,--
Alex Serdyukov,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,"May 24, 1980",1980
Tyron Woodley,"5' 9""",170 lbs.,"74.0""",Orthodox,19,7,"Apr 07, 1982",1982
Salvador Woods,"5' 11""",170 lbs.,--,,8,17,"Feb 05, 1985",1985
Sean Woodson,"6' 2""",145 lbs.,"78.0""",Orthodox,12,1,"Jun 07, 1992",1992
Logan Woods,--,185 lbs.,--,,5,1,"May 30, 1994",1994
Val Woodburn,"5' 8""",170 lbs.,"74.0""",Orthodox,7,2,"Aug 10, 1993",1993
Nathaniel Wood,"5' 6""",145 lbs.,"69.0""",Orthodox,20,6,"May 08, 1993",1993
Brandon Sene,"5' 11""",205 lbs.,--,,2,2,"May 21, 1981",1981
YeDam Seo,"5' 3""",115 lbs.,"63.0""",Orthodox,7,4,"Mar 20, 1992",1992
Matthew Semelsberger,"6' 1""",170 lbs.,"75.0""",Switch,11,7,"Nov 23, 1992",1992
Kim In Seok,"5' 6""",145 lbs.,--,Orthodox,3,6,--,--
Andrei Semenov,"6' 0""",185 lbs.,--,Orthodox,34,9,"Jun 17, 1977",1977
Pete Sell,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,"Aug 05, 1982",1982
Stefan Sekulic,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,"Feb 12, 1992",1992
Ray Seraille,"6' 3""",246 lbs.,--,,8,9,--,--
Mackens Semerzier,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,"Nov 03, 1980",1980
Joanne Wood,"5' 6""",125 lbs.,"65.0""",Orthodox,17,8,"Dec 23, 1985",1985
Danyelle Wolf,"5' 11""",145 lbs.,"70.0""",Orthodox,1,1,"Sep 08, 1983",1983
Karolina Wojcik,"5' 2""",115 lbs.,--,Orthodox,9,2,"Dec 09, 1994",1994
Brandon Wolff,"5' 9""",170 lbs.,--,Orthodox,7,5,"Oct 18, 1975",1975
Xue Do Won,"5' 7""",165 lbs.,--,,0,1,--,--
Jason Witt,"5' 10""",170 lbs.,"70.0""",Orthodox,19,9,"Nov 07, 1986",1986
Tetsuya Seki,"5' 10""",155 lbs.,--,,14,8,"Feb 08, 1994",1994
Travis Wiuff,"6' 3""",205 lbs.,--,Orthodox,75,21,"Mar 15, 1978",1978
Keith Wisniewski,"6' 0""",170 lbs.,--,Orthodox,28,15,"Oct 25, 1981",1981
Ray Wizard,"5' 10""",--,--,,0,1,--,--
Ray Sefo,"6' 0""",240 lbs.,--,Orthodox,2,2,"Feb 15, 1971",1971
Brendan Seguin,"6' 0""",185 lbs.,--,,23,19,"Jul 03, 1976",1976
Neil Seery,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,"Aug 30, 1979",1979
Rony Sefo,"5' 9""",225 lbs.,--,Orthodox,0,2,--,--
Kenneth Seegrist,"6' 0""",185 lbs.,--,Orthodox,4,7,--,--
Matt Secor,"6' 0""",170 lbs.,--,,8,4,"Sep 26, 1986",1986
Deron Winn,"5' 6""",185 lbs.,"70.0""",Orthodox,7,3,"Jun 13, 1989",1989
Mike Seal,"6' 4""",185 lbs.,--,Orthodox,13,15,--,--
Andre Winner,"5' 11""",155 lbs.,"73.0""",Orthodox,21,11,"Nov 09, 1981",1981
Louis Lee Scott,--,135 lbs.,--,,8,0,"Feb 26, 2000",2000
Matt Wiman,"5' 10""",155 lbs.,"68.0""",Orthodox,16,10,"Sep 19, 1983",1983
Westin Wilson,"6' 1""",145 lbs.,"73.0""",Southpaw,17,9,"Jan 24, 1989",1989
Jonathan Wilson,"6' 2""",205 lbs.,"75.0""",Southpaw,7,3,"Jul 17, 1987",1987
Eddie Wineland,"5' 7""",135 lbs.,"69.0""",Orthodox,24,16,"Jun 26, 1984",1984
Sean Wilson,"5' 8""",145 lbs.,--,,36,29,"Oct 20, 1982",1982
Greg Scott,"5' 9""",145 lbs.,--,,3,4,--,--
Chris Wilson,"6' 1""",170 lbs.,"75.0""",Orthodox,18,10,"Jun 07, 1977",1977
Greg Wilson,--,155 lbs.,--,,2,3,"Oct 02, 1988",1988
Brad Scott,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,"Jun 24, 1989",1989
Brian Schwartz,"6' 3""",170 lbs.,--,Orthodox,1,1,--,--
Eric Schwartz,--,205 lbs.,--,,2,0,--,--
Bob Schrijber,"6' 0""",240 lbs.,--,Orthodox,20,17,--,--
Justin Scoggins,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,"May 02, 1992",1992
Lacey Schuckman,"5' 3""",125 lbs.,--,,11,10,--,--
Mark Schultz,"5' 9""",200 lbs.,--,Orthodox,1,1,--,--
Wes Schultz,"6' 2""",185 lbs.,"77.0""",Orthodox,6,2,"Aug 09, 1996",1996
Nate Schroeder,"6' 1""",230 lbs.,--,,11,10,--,--
Karl Willis,--,--,--,,0,5,--,--
Justin Willis,"6' 1""",264 lbs.,"78.0""",Southpaw,8,2,"Jul 19, 1987",1987
Cole Williams,"6' 0""",170 lbs.,"73.0""",Orthodox,11,3,"Dec 15, 1983",1983
Karl Williams,"6' 3""",235 lbs.,"79.0""",Orthodox,10,2,"Jan 06, 1990",1990
Patrick Williams,"5' 8""",135 lbs.,"73.0""",Orthodox,8,6,"Sep 07, 1981",1981
Khaos Williams,"6' 0""",170 lbs.,"77.0""",Orthodox,15,3,"Mar 30, 1994",1994
Jordan Williams,"6' 1""",185 lbs.,"75.0""",Southpaw,9,6,"Oct 13, 1990",1990
Tim Williams,"6' 2""",185 lbs.,"76.0""",Orthodox,15,5,"Jul 03, 1986",1986
Bailey Schoenfelder,--,265 lbs.,--,,5,0,"Sep 22, 1997",1997
Carter Williams,"6' 1""",265 lbs.,--,Orthodox,4,5,--,--
Darrill Schoonover,"6' 2""",220 lbs.,--,Orthodox,14,8,"Jul 18, 1985",1985
Alex Schoenauer,"6' 3""",185 lbs.,--,Orthodox,15,10,"May 05, 1976",1976
Matt Schnell,"5' 8""",125 lbs.,"70.0""",Orthodox,16,8,"Jan 15, 1990",1990
Rubin Williams,"6' 1""",185 lbs.,--,Orthodox,0,1,"Apr 09, 1976",1976
Daniel Schmitt,--,185 lbs.,--,,2,3,--,--
Colleen Schneider,--,135 lbs.,--,,11,7,--,--
Joe Schilling,"6' 3""",185 lbs.,--,,2,5,--,--
Adam Schindler,"5' 8""",155 lbs.,--,,10,6,"May 19, 1983",1983
Pat Schilling,"5' 8""",145 lbs.,--,Orthodox,5,2,"Aug 28, 1988",1988
Tedd Williams,"6' 1""",275 lbs.,--,Orthodox,7,1,"Dec 19, 1969",1969
James Wilks,"6' 1""",170 lbs.,"75.0""",Orthodox,7,4,"May 04, 1978",1978
Semmy Schilt,"6' 10""",265 lbs.,--,Orthodox,26,14,"Oct 27, 1973",1973
Pete Williams,"6' 3""",235 lbs.,--,Orthodox,12,6,"Jul 10, 1975",1975
Rob Wilkinson,"6' 3""",185 lbs.,"80.0""",Orthodox,11,2,"Feb 22, 1992",1992
Mike Wilkinson,"5' 7""",145 lbs.,"66.0""",Orthodox,9,4,"Sep 15, 1987",1987
Aaron Wilkinson,"5' 10""",155 lbs.,--,Orthodox,11,7,"Jan 31, 1987",1987
Joe Wilk,"5' 9""",145 lbs.,--,,19,11,"Apr 12, 1982",1982
Jonathan Wiezorek,"6' 3""",250 lbs.,--,Southpaw,11,2,"Feb 10, 1978",1978
Orlando Wiet,"5' 10""",170 lbs.,--,Southpaw,1,5,--,--
Fabiano Scherner,"6' 3""",257 lbs.,--,Orthodox,11,10,"Jun 30, 1972",1972
Antonio Schembri,"5' 9""",205 lbs.,--,Orthodox,5,5,"Jun 01, 1974",1974
Justin Wilcox,"5' 6""",155 lbs.,--,Orthodox,14,7,"Mar 12, 1979",1979
Samy Schiavo,"5' 8""",155 lbs.,--,Orthodox,10,6,"Dec 24, 1975",1975
Matheus Scheffel,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,"Nov 04, 1992",1992
Brendan Schaub,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,"Mar 18, 1983",1983
Eric Schambari,"5' 11""",185 lbs.,--,Orthodox,15,6,"Apr 22, 1978",1978
Kerry Schall,"6' 2""",265 lbs.,--,Orthodox,24,13,"Aug 09, 1971",1971
Mark Scanlon,"5' 9""",170 lbs.,--,Orthodox,9,2,--,--
Mikheil Sazhiniani,"6' 0""",205 lbs.,"71.0""",Orthodox,13,3,"Oct 05, 1996",1996
Eric Schafer,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,"Sep 20, 1977",1977
Robert Whittaker,"6' 0""",185 lbs.,"73.0""",Orthodox,27,7,"Dec 20, 1990",1990
Adam Wieczorek,"6' 5""",250 lbs.,"81.0""",Orthodox,10,2,"Feb 05, 1992",1992
Mitch Whitesel,"5' 9""",185 lbs.,--,,17,27,"Jul 12, 1981",1981
Josh Wick,"5' 9""",155 lbs.,"69.0""",Switch,12,6,"Oct 04, 1994",1994
Emily Whitmire,"5' 5""",125 lbs.,"63.0""",Orthodox,4,5,"May 24, 1991",1991
Garett Whiteley,"6' 0""",155 lbs.,"72.0""",Orthodox,7,3,"Dec 13, 1980",1980
Craig White,"6' 2""",170 lbs.,"76.0""",Orthodox,14,9,"Jul 01, 1990",1990
Mike Whitehead,"6' 1""",205 lbs.,--,Orthodox,27,8,"Jun 29, 1981",1981
Patrik White,"6' 0""",155 lbs.,"72.0""",Orthodox,9,2,"Jun 11, 1993",1993
Matt Sayles,"5' 7""",155 lbs.,"68.0""",Orthodox,8,4,"Feb 21, 1994",1994
Robert Whiteford,"5' 9""",145 lbs.,"69.0""",Southpaw,14,4,"Apr 12, 1983",1983
Brandon Sayles,"6' 5""",265 lbs.,--,,5,1,"Apr 23, 1981",1981
Chris Saunders,"5' 8""",155 lbs.,--,,16,8,"Mar 11, 1986",1986
Chad W. Saunders,"5' 10""",170 lbs.,--,Orthodox,7,2,--,--
Ben Saunders,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,"Apr 13, 1983",1983
Jeimeson Saudino,"5' 6""",135 lbs.,--,,8,5,"Mar 05, 1991",1991
Lumumba Sayers,"6' 0""",185 lbs.,--,,6,5,"Jun 30, 1978",1978
Townsend Saunders,"5' 5""",170 lbs.,--,Orthodox,0,2,--,--
Uran Satybaldiev,--,205 lbs.,--,,7,1,--,--
Vernon White,"6' 0""",205 lbs.,--,Southpaw,26,33,"Dec 03, 1971",1971
Steve White,"5' 11""",175 lbs.,--,,1,4,--,--
Tom Sauer,"6' 1""",263 lbs.,--,,25,12,"Nov 11, 1970",1970
Dustin West,"5' 11""",170 lbs.,--,,6,6,--,--
Aaron Wetherspoon,--,170 lbs.,--,,9,5,--,--
Sheldon Westcott,"6' 1""",170 lbs.,"71.0""",Southpaw,10,3,"Aug 20, 1984",1984
